pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
neisseria_gonorrhoeae.pangenome.k32.S_local.k_13.d_1	neisseria_gonorrhoeae.pangenome.k32	local	13	1	23.19	0.45	15.65	69%	278212	0	0	23.203352
neisseria_gonorrhoeae.pangenome.k32.S_local.k_13.d_2	neisseria_gonorrhoeae.pangenome.k32	local	13	2	25.74	0.35	20.25	80%	278212	0	0	25.747302
neisseria_gonorrhoeae.pangenome.k32.S_local.k_13.d_3	neisseria_gonorrhoeae.pangenome.k32	local	13	3	24.51	0.25	21.35	88%	285540	0	0	24.522137
neisseria_gonorrhoeae.pangenome.k32.S_local.k_13.d_4	neisseria_gonorrhoeae.pangenome.k32	local	13	4	31.53	0.40	23.35	75%	399496	0	0	31.540282
neisseria_gonorrhoeae.pangenome.k32.S_local.k_13.d_5	neisseria_gonorrhoeae.pangenome.k32	local	13	5	40.75	0.43	29.80	74%	579476	0	0	40.759303
neisseria_gonorrhoeae.pangenome.k32.S_global.k_14.d_na	neisseria_gonorrhoeae.pangenome.k32	global	14	na	61.62	0.47	52.21	85%	879068	0	0	61.62829
neisseria_gonorrhoeae.pangenome.k32.S_local.k_14.d_1	neisseria_gonorrhoeae.pangenome.k32	local	14	1	32.89	0.68	26.78	83%	278212	0	0	32.892977
neisseria_gonorrhoeae.pangenome.k32.S_local.k_14.d_2	neisseria_gonorrhoeae.pangenome.k32	local	14	2	34.08	0.41	30.93	91%	278212	0	0	34.08799
neisseria_gonorrhoeae.pangenome.k32.S_local.k_14.d_3	neisseria_gonorrhoeae.pangenome.k32	local	14	3	37.29	0.43	35.04	95%	284156	0	0	37.296339
neisseria_gonorrhoeae.pangenome.k32.S_local.k_14.d_4	neisseria_gonorrhoeae.pangenome.k32	local	14	4	57.38	0.45	49.31	86%	334104	0	0	57.385543
neisseria_gonorrhoeae.pangenome.k32.S_local.k_14.d_5	neisseria_gonorrhoeae.pangenome.k32	local	14	5	80.36	0.65	67.00	84%	700672	0	0	80.370871
neisseria_gonorrhoeae.pangenome.k32.S_global.k_15.d_na	neisseria_gonorrhoeae.pangenome.k32	global	15	na	73.34	0.49	60.18	82%	1008828	0	0	73.343351
neisseria_gonorrhoeae.pangenome.k32.S_local.k_15.d_1	neisseria_gonorrhoeae.pangenome.k32	local	15	1	36.54	0.53	34.16	94%	278212	0	0	36.549441
neisseria_gonorrhoeae.pangenome.k32.S_local.k_15.d_2	neisseria_gonorrhoeae.pangenome.k32	local	15	2	40.22	0.40	38.62	97%	278208	0	0	40.232238
neisseria_gonorrhoeae.pangenome.k32.S_local.k_15.d_3	neisseria_gonorrhoeae.pangenome.k32	local	15	3	45.51	0.41	43.41	96%	278212	0	0	45.514523
neisseria_gonorrhoeae.pangenome.k32.S_local.k_15.d_4	neisseria_gonorrhoeae.pangenome.k32	local	15	4	64.31	0.44	59.12	92%	302296	0	0	64.317809
neisseria_gonorrhoeae.pangenome.k32.S_local.k_15.d_5	neisseria_gonorrhoeae.pangenome.k32	local	15	5	94.11	0.56	84.39	90%	522332	0	0	94.11884
neisseria_gonorrhoeae.pangenome.k32.S_global.k_16.d_na	neisseria_gonorrhoeae.pangenome.k32	global	16	na	74.58	0.37	60.09	81%	1064312	0	0	74.592454
neisseria_gonorrhoeae.pangenome.k32.S_local.k_16.d_1	neisseria_gonorrhoeae.pangenome.k32	local	16	1	38.01	0.36	35.71	94%	278212	0	0	38.018651
neisseria_gonorrhoeae.pangenome.k32.S_local.k_16.d_2	neisseria_gonorrhoeae.pangenome.k32	local	16	2	39.93	0.43	39.18	99%	278212	0	0	39.94146
neisseria_gonorrhoeae.pangenome.k32.S_local.k_16.d_3	neisseria_gonorrhoeae.pangenome.k32	local	16	3	42.92	0.33	42.46	99%	278212	0	0	42.929812
neisseria_gonorrhoeae.pangenome.k32.S_local.k_16.d_4	neisseria_gonorrhoeae.pangenome.k32	local	16	4	71.18	0.48	70.11	99%	278212	0	0	71.185968
neisseria_gonorrhoeae.pangenome.k32.S_local.k_16.d_5	neisseria_gonorrhoeae.pangenome.k32	local	16	5	117.44	0.59	109.87	94%	295492	0	0	117.450419
neisseria_gonorrhoeae.pangenome.k32.S_global.k_17.d_na	neisseria_gonorrhoeae.pangenome.k32	global	17	na	79.12	0.41	64.56	82%	1087560	0	0	79.131976
neisseria_gonorrhoeae.pangenome.k32.S_local.k_17.d_1	neisseria_gonorrhoeae.pangenome.k32	local	17	1	37.64	0.35	36.77	98%	278212	0	0	37.644618
neisseria_gonorrhoeae.pangenome.k32.S_local.k_17.d_2	neisseria_gonorrhoeae.pangenome.k32	local	17	2	40.12	0.27	39.57	99%	278212	0	0	40.124237
neisseria_gonorrhoeae.pangenome.k32.S_local.k_17.d_3	neisseria_gonorrhoeae.pangenome.k32	local	17	3	44.30	0.31	43.65	99%	278212	0	0	44.303923
neisseria_gonorrhoeae.pangenome.k32.S_local.k_17.d_4	neisseria_gonorrhoeae.pangenome.k32	local	17	4	61.77	0.40	60.98	99%	278208	0	0	61.784015
neisseria_gonorrhoeae.pangenome.k32.S_local.k_17.d_5	neisseria_gonorrhoeae.pangenome.k32	local	17	5	88.79	0.27	87.85	99%	281036	0	0	88.794944
neisseria_gonorrhoeae.pangenome.k32.S_global.k_18.d_na	neisseria_gonorrhoeae.pangenome.k32	global	18	na	85.49	0.53	70.59	83%	1099132	0	0	85.497985
neisseria_gonorrhoeae.pangenome.k32.S_local.k_18.d_1	neisseria_gonorrhoeae.pangenome.k32	local	18	1	35.79	0.21	35.09	98%	278212	0	0	35.80284
neisseria_gonorrhoeae.pangenome.k32.S_local.k_18.d_2	neisseria_gonorrhoeae.pangenome.k32	local	18	2	42.48	0.35	41.96	99%	278212	0	0	42.493738
neisseria_gonorrhoeae.pangenome.k32.S_local.k_18.d_3	neisseria_gonorrhoeae.pangenome.k32	local	18	3	48.07	0.32	47.52	99%	278212	0	0	48.084493
neisseria_gonorrhoeae.pangenome.k32.S_local.k_18.d_4	neisseria_gonorrhoeae.pangenome.k32	local	18	4	54.30	0.35	53.61	99%	278212	0	0	54.311609
neisseria_gonorrhoeae.pangenome.k32.S_local.k_18.d_5	neisseria_gonorrhoeae.pangenome.k32	local	18	5	94.56	0.34	93.65	99%	278212	0	0	94.57335
neisseria_gonorrhoeae.pangenome.k32.S_global.k_19.d_na	neisseria_gonorrhoeae.pangenome.k32	global	19	na	97.96	0.93	82.66	85%	1106356	0	0	97.968251
neisseria_gonorrhoeae.pangenome.k32.S_local.k_19.d_1	neisseria_gonorrhoeae.pangenome.k32	local	19	1	44.15	0.27	43.62	99%	278212	0	0	44.158588
neisseria_gonorrhoeae.pangenome.k32.S_local.k_19.d_2	neisseria_gonorrhoeae.pangenome.k32	local	19	2	40.50	0.21	40.07	99%	278212	0	0	40.504092
neisseria_gonorrhoeae.pangenome.k32.S_local.k_19.d_3	neisseria_gonorrhoeae.pangenome.k32	local	19	3	45.44	0.27	45.10	99%	278212	0	0	45.44608
neisseria_gonorrhoeae.pangenome.k32.S_local.k_19.d_4	neisseria_gonorrhoeae.pangenome.k32	local	19	4	55.34	0.31	54.77	99%	278212	0	0	55.348807
neisseria_gonorrhoeae.pangenome.k32.S_local.k_19.d_5	neisseria_gonorrhoeae.pangenome.k32	local	19	5	82.34	0.31	81.68	99%	278212	0	0	82.35182
neisseria_gonorrhoeae.pangenome.k32.S_global.k_20.d_na	neisseria_gonorrhoeae.pangenome.k32	global	20	na	91.85	0.53	75.60	82%	1112204	0	0	91.860404
neisseria_gonorrhoeae.pangenome.k32.S_local.k_20.d_1	neisseria_gonorrhoeae.pangenome.k32	local	20	1	36.81	0.22	36.10	98%	278212	0	0	36.816208
neisseria_gonorrhoeae.pangenome.k32.S_local.k_20.d_2	neisseria_gonorrhoeae.pangenome.k32	local	20	2	38.34	0.20	37.62	98%	278212	0	0	38.352478
neisseria_gonorrhoeae.pangenome.k32.S_local.k_20.d_3	neisseria_gonorrhoeae.pangenome.k32	local	20	3	42.49	0.26	41.92	99%	278212	0	0	42.496106
neisseria_gonorrhoeae.pangenome.k32.S_local.k_20.d_4	neisseria_gonorrhoeae.pangenome.k32	local	20	4	51.42	0.25	50.87	99%	278212	0	0	51.425169
neisseria_gonorrhoeae.pangenome.k32.S_local.k_20.d_5	neisseria_gonorrhoeae.pangenome.k32	local	20	5	96.75	0.41	95.88	99%	278212	0	0	96.758525
neisseria_gonorrhoeae.pangenome.k32.S_global.k_21.d_na	neisseria_gonorrhoeae.pangenome.k32	global	21	na	93.33	0.56	76.72	82%	1117492	0	0	93.342762
neisseria_gonorrhoeae.pangenome.k32.S_local.k_21.d_1	neisseria_gonorrhoeae.pangenome.k32	local	21	1	31.25	0.23	29.89	96%	278212	0	0	31.258747
neisseria_gonorrhoeae.pangenome.k32.S_local.k_21.d_2	neisseria_gonorrhoeae.pangenome.k32	local	21	2	35.83	0.20	34.18	95%	278212	0	0	35.839221
neisseria_gonorrhoeae.pangenome.k32.S_local.k_21.d_3	neisseria_gonorrhoeae.pangenome.k32	local	21	3	33.27	0.17	32.70	98%	278212	0	0	33.280013
neisseria_gonorrhoeae.pangenome.k32.S_local.k_21.d_4	neisseria_gonorrhoeae.pangenome.k32	local	21	4	49.10	0.35	48.42	99%	278212	0	0	49.106959
neisseria_gonorrhoeae.pangenome.k32.S_local.k_21.d_5	neisseria_gonorrhoeae.pangenome.k32	local	21	5	81.30	0.46	79.81	98%	278212	0	0	81.312519
neisseria_gonorrhoeae.pangenome.k32.S_global.k_22.d_na	neisseria_gonorrhoeae.pangenome.k32	global	22	na	90.23	0.58	74.06	82%	1122340	0	0	90.242243
neisseria_gonorrhoeae.pangenome.k32.S_local.k_22.d_1	neisseria_gonorrhoeae.pangenome.k32	local	22	1	36.04	0.28	33.16	92%	278212	0	0	36.049324
neisseria_gonorrhoeae.pangenome.k32.S_local.k_22.d_2	neisseria_gonorrhoeae.pangenome.k32	local	22	2	31.63	0.18	29.67	94%	278216	0	0	31.642749
neisseria_gonorrhoeae.pangenome.k32.S_local.k_22.d_3	neisseria_gonorrhoeae.pangenome.k32	local	22	3	36.78	0.33	34.69	95%	278400	0	0	36.786808
neisseria_gonorrhoeae.pangenome.k32.S_local.k_22.d_4	neisseria_gonorrhoeae.pangenome.k32	local	22	4	38.27	0.17	37.17	97%	278212	0	0	38.280948
neisseria_gonorrhoeae.pangenome.k32.S_local.k_22.d_5	neisseria_gonorrhoeae.pangenome.k32	local	22	5	56.62	0.29	55.57	98%	278212	0	0	56.630132
neisseria_gonorrhoeae.pangenome.k32.S_global.k_23.d_na	neisseria_gonorrhoeae.pangenome.k32	global	23	na	92.76	0.53	77.43	84%	1127040	0	0	92.770107
neisseria_gonorrhoeae.pangenome.k32.S_local.k_23.d_1	neisseria_gonorrhoeae.pangenome.k32	local	23	1	36.10	0.37	33.91	94%	278744	0	0	36.112383
neisseria_gonorrhoeae.pangenome.k32.S_local.k_23.d_2	neisseria_gonorrhoeae.pangenome.k32	local	23	2	35.36	0.19	33.27	94%	278744	0	0	35.367501
neisseria_gonorrhoeae.pangenome.k32.S_local.k_23.d_3	neisseria_gonorrhoeae.pangenome.k32	local	23	3	32.94	0.20	30.79	94%	278684	0	0	32.948173
neisseria_gonorrhoeae.pangenome.k32.S_local.k_23.d_4	neisseria_gonorrhoeae.pangenome.k32	local	23	4	40.22	0.17	37.98	94%	278684	0	0	40.228489
neisseria_gonorrhoeae.pangenome.k32.S_local.k_23.d_5	neisseria_gonorrhoeae.pangenome.k32	local	23	5	77.50	0.52	76.06	98%	279028	0	0	77.503802
neisseria_gonorrhoeae.pangenome.k32.S_global.k_31.d_na	neisseria_gonorrhoeae.pangenome.k32	global	31	na	96.82	0.39	81.38	84%	1161256	0	0	96.8244
neisseria_gonorrhoeae.pangenome.k32.S_local.k_31.d_1	neisseria_gonorrhoeae.pangenome.k32	local	31	1	35.70	0.22	29.82	84%	285980	0	0	35.706149
neisseria_gonorrhoeae.pangenome.k32.S_local.k_31.d_2	neisseria_gonorrhoeae.pangenome.k32	local	31	2	34.08	0.26	28.86	85%	286132	0	0	34.091577
neisseria_gonorrhoeae.pangenome.k32.S_local.k_31.d_3	neisseria_gonorrhoeae.pangenome.k32	local	31	3	32.16	0.19	27.42	85%	290416	0	0	32.163053
neisseria_gonorrhoeae.pangenome.k32.S_local.k_31.d_4	neisseria_gonorrhoeae.pangenome.k32	local	31	4	39.55	0.24	35.44	90%	290356	0	0	39.561028
neisseria_gonorrhoeae.pangenome.k32.S_local.k_31.d_5	neisseria_gonorrhoeae.pangenome.k32	local	31	5	75.48	0.53	72.07	96%	291524	0	0	75.49143
salmonella_enterica.k32.S_global.k_8.d_na	salmonella_enterica.k32	global	8	na	10.88	0.20	10.20	95%	5424	0	0	10.88323
salmonella_enterica.k32.S_local.k_8.d_1	salmonella_enterica.k32	local	8	1	12.51	0.24	11.71	95%	4784	0	0	12.514562
salmonella_enterica.k32.S_local.k_8.d_2	salmonella_enterica.k32	local	8	2	12.87	0.22	12.15	96%	4968	0	0	12.883441
salmonella_enterica.k32.S_local.k_8.d_3	salmonella_enterica.k32	local	8	3	13.07	0.23	12.54	97%	5328	0	0	13.081643
salmonella_enterica.k32.S_local.k_8.d_4	salmonella_enterica.k32	local	8	4	12.50	0.23	11.95	97%	5648	0	0	12.503535
salmonella_enterica.k32.S_local.k_8.d_5	salmonella_enterica.k32	local	8	5	10.69	0.15	10.15	96%	5760	0	0	10.702724
salmonella_enterica.k32.S_global.k_9.d_na	salmonella_enterica.k32	global	9	na	11.97	0.21	11.30	96%	9672	0	0	11.976009
salmonella_enterica.k32.S_local.k_9.d_1	salmonella_enterica.k32	local	9	1	13.08	0.20	12.24	95%	6580	0	0	13.091246
salmonella_enterica.k32.S_local.k_9.d_2	salmonella_enterica.k32	local	9	2	12.98	0.18	12.11	94%	6616	0	0	12.9921
salmonella_enterica.k32.S_local.k_9.d_3	salmonella_enterica.k32	local	9	3	12.29	0.21	11.34	94%	7580	0	0	12.296894
salmonella_enterica.k32.S_local.k_9.d_4	salmonella_enterica.k32	local	9	4	11.61	0.25	10.64	93%	8368	0	0	11.615835
salmonella_enterica.k32.S_local.k_9.d_5	salmonella_enterica.k32	local	9	5	11.47	0.23	10.74	95%	10488	0	0	11.480022
salmonella_enterica.k32.S_global.k_10.d_na	salmonella_enterica.k32	global	10	na	16.66	0.24	16.06	97%	27980	0	0	16.671967
salmonella_enterica.k32.S_local.k_10.d_1	salmonella_enterica.k32	local	10	1	16.06	0.31	15.22	96%	13288	0	0	16.071633
salmonella_enterica.k32.S_local.k_10.d_2	salmonella_enterica.k32	local	10	2	12.08	0.18	11.42	96%	13636	0	0	12.085862
salmonella_enterica.k32.S_local.k_10.d_3	salmonella_enterica.k32	local	10	3	19.37	0.18	18.78	97%	15084	0	0	19.374985
salmonella_enterica.k32.S_local.k_10.d_4	salmonella_enterica.k32	local	10	4	13.99	0.23	13.39	97%	21888	0	0	14.003916
salmonella_enterica.k32.S_local.k_10.d_5	salmonella_enterica.k32	local	10	5	19.34	0.32	18.33	96%	28740	0	0	19.349113
salmonella_enterica.k32.S_global.k_11.d_na	salmonella_enterica.k32	global	11	na	31.70	0.33	30.19	96%	101036	0	0	31.710754
salmonella_enterica.k32.S_local.k_11.d_1	salmonella_enterica.k32	local	11	1	26.73	0.27	25.16	95%	38556	0	0	26.737714
salmonella_enterica.k32.S_local.k_11.d_2	salmonella_enterica.k32	local	11	2	25.05	0.25	23.73	95%	41188	0	0	25.059585
salmonella_enterica.k32.S_local.k_11.d_3	salmonella_enterica.k32	local	11	3	32.46	0.41	30.72	95%	53704	0	0	32.468538
salmonella_enterica.k32.S_local.k_11.d_4	salmonella_enterica.k32	local	11	4	27.36	0.23	25.63	94%	78552	0	0	27.369232
salmonella_enterica.k32.S_local.k_11.d_5	salmonella_enterica.k32	local	11	5	28.83	0.23	26.76	93%	84112	0	0	28.841039
salmonella_enterica.k32.S_global.k_12.d_na	salmonella_enterica.k32	global	12	na	45.18	0.35	40.79	91%	377096	0	0	45.192054
salmonella_enterica.k32.S_local.k_12.d_1	salmonella_enterica.k32	local	12	1	39.48	0.34	35.42	90%	141124	0	0	39.486955
salmonella_enterica.k32.S_local.k_12.d_2	salmonella_enterica.k32	local	12	2	41.44	0.42	37.26	90%	144104	0	0	41.450546
salmonella_enterica.k32.S_local.k_12.d_3	salmonella_enterica.k32	local	12	3	37.50	0.35	33.51	90%	153668	0	0	37.510366
salmonella_enterica.k32.S_local.k_12.d_4	salmonella_enterica.k32	local	12	4	40.07	0.47	34.45	87%	203328	0	0	40.076753
salmonella_enterica.k32.S_local.k_12.d_5	salmonella_enterica.k32	local	12	5	44.79	0.50	36.82	83%	274424	0	0	44.802209
salmonella_enterica.k32.S_global.k_13.d_na	salmonella_enterica.k32	global	13	na	99.59	0.89	88.42	89%	1085736	0	0	99.59318
salmonella_enterica.k32.S_local.k_13.d_1	salmonella_enterica.k32	local	13	1	63.08	1.01	55.24	89%	278212	0	0	63.089225
salmonella_enterica.k32.S_local.k_13.d_2	salmonella_enterica.k32	local	13	2	68.69	0.76	65.61	96%	278212	0	0	68.693582
salmonella_enterica.k32.S_local.k_13.d_3	salmonella_enterica.k32	local	13	3	80.27	0.94	75.06	94%	291088	0	0	80.279328
salmonella_enterica.k32.S_local.k_13.d_4	salmonella_enterica.k32	local	13	4	93.06	0.61	81.26	87%	358536	0	0	93.064614
salmonella_enterica.k32.S_local.k_13.d_5	salmonella_enterica.k32	local	13	5	115.45	0.94	93.77	82%	858340	0	0	115.456121
salmonella_enterica.k32.S_global.k_14.d_na	salmonella_enterica.k32	global	14	na	159.00	1.28	135.19	85%	2083460	0	0	159.011188
salmonella_enterica.k32.S_local.k_14.d_1	salmonella_enterica.k32	local	14	1	98.87	1.97	80.33	83%	552652	0	0	98.875179
salmonella_enterica.k32.S_local.k_14.d_2	salmonella_enterica.k32	local	14	2	112.49	1.77	104.44	94%	552640	0	0	112.498459
salmonella_enterica.k32.S_local.k_14.d_3	salmonella_enterica.k32	local	14	3	134.58	1.43	128.12	96%	564436	0	0	134.591541
salmonella_enterica.k32.S_local.k_14.d_4	salmonella_enterica.k32	local	14	4	161.44	1.16	146.13	91%	653116	0	0	161.44714
salmonella_enterica.k32.S_local.k_14.d_5	salmonella_enterica.k32	local	14	5	242.94	1.41	208.78	86%	1284776	0	0	242.944479
salmonella_enterica.k32.S_global.k_15.d_na	salmonella_enterica.k32	global	15	na	221.89	2.10	190.05	86%	2895072	0	0	221.902177
salmonella_enterica.k32.S_local.k_15.d_1	salmonella_enterica.k32	local	15	1	113.96	2.38	92.18	82%	1101532	0	0	113.965188
salmonella_enterica.k32.S_local.k_15.d_2	salmonella_enterica.k32	local	15	2	116.05	1.69	104.65	91%	1101532	0	0	116.060909
salmonella_enterica.k32.S_local.k_15.d_3	salmonella_enterica.k32	local	15	3	145.71	1.84	133.88	93%	1108840	0	0	145.718254
salmonella_enterica.k32.S_local.k_15.d_4	salmonella_enterica.k32	local	15	4	186.61	1.42	171.64	92%	1198268	0	0	186.617186
salmonella_enterica.k32.S_local.k_15.d_5	salmonella_enterica.k32	local	15	5	283.71	1.25	262.09	92%	1477832	0	0	283.719525
salmonella_enterica.k32.S_global.k_16.d_na	salmonella_enterica.k32	global	16	na	261.38	2.22	225.41	87%	3240436	0	0	261.391743
salmonella_enterica.k32.S_local.k_16.d_1	salmonella_enterica.k32	local	16	1	124.86	2.10	108.96	88%	1101532	0	0	124.867437
salmonella_enterica.k32.S_local.k_16.d_2	salmonella_enterica.k32	local	16	2	115.10	1.33	109.73	96%	1101528	0	0	115.110876
salmonella_enterica.k32.S_local.k_16.d_3	salmonella_enterica.k32	local	16	3	154.12	2.14	148.09	97%	1101532	0	0	154.128025
salmonella_enterica.k32.S_local.k_16.d_4	salmonella_enterica.k32	local	16	4	211.59	1.72	205.32	97%	1103164	0	0	211.60304
salmonella_enterica.k32.S_local.k_16.d_5	salmonella_enterica.k32	local	16	5	421.07	2.02	408.11	97%	1252708	0	0	421.074119
salmonella_enterica.k32.S_global.k_17.d_na	salmonella_enterica.k32	global	17	na	268.04	1.77	224.77	84%	3413988	0	0	268.050378
salmonella_enterica.k32.S_local.k_17.d_1	salmonella_enterica.k32	local	17	1	118.79	1.55	111.38	95%	1101532	0	0	118.801651
salmonella_enterica.k32.S_local.k_17.d_2	salmonella_enterica.k32	local	17	2	128.51	1.44	121.21	95%	1101532	0	0	128.517813
salmonella_enterica.k32.S_local.k_17.d_3	salmonella_enterica.k32	local	17	3	145.83	1.73	141.63	98%	1101532	0	0	145.838088
salmonella_enterica.k32.S_local.k_17.d_4	salmonella_enterica.k32	local	17	4	224.68	1.89	221.30	99%	1101532	0	0	224.68689
salmonella_enterica.k32.S_local.k_17.d_5	salmonella_enterica.k32	local	17	5	513.99	2.54	504.28	98%	1104640	0	0	513.996569
salmonella_enterica.k32.S_global.k_18.d_na	salmonella_enterica.k32	global	18	na	300.56	1.72	253.04	84%	3522644	0	0	300.564228
salmonella_enterica.k32.S_local.k_18.d_1	salmonella_enterica.k32	local	18	1	116.13	1.31	109.79	95%	1101532	0	0	116.140632
salmonella_enterica.k32.S_local.k_18.d_2	salmonella_enterica.k32	local	18	2	113.46	1.22	110.35	98%	1101532	0	0	113.467812
salmonella_enterica.k32.S_local.k_18.d_3	salmonella_enterica.k32	local	18	3	150.73	1.77	146.66	98%	1101532	0	0	150.735968
salmonella_enterica.k32.S_local.k_18.d_4	salmonella_enterica.k32	local	18	4	218.76	1.59	215.95	99%	1101532	0	0	218.768541
salmonella_enterica.k32.S_local.k_18.d_5	salmonella_enterica.k32	local	18	5	545.59	2.53	539.06	99%	1101532	0	0	545.59524
salmonella_enterica.k32.S_global.k_19.d_na	salmonella_enterica.k32	global	19	na	316.18	1.80	268.67	85%	3607052	0	0	316.188689
salmonella_enterica.k32.S_local.k_19.d_1	salmonella_enterica.k32	local	19	1	129.17	1.54	116.16	91%	1101532	0	0	129.184035
salmonella_enterica.k32.S_local.k_19.d_2	salmonella_enterica.k32	local	19	2	111.42	1.15	104.83	95%	1101532	0	0	111.424194
salmonella_enterica.k32.S_local.k_19.d_3	salmonella_enterica.k32	local	19	3	147.85	1.93	144.29	98%	1101532	0	0	147.863333
salmonella_enterica.k32.S_local.k_19.d_4	salmonella_enterica.k32	local	19	4	233.38	1.88	229.40	99%	1101532	0	0	233.386523
salmonella_enterica.k32.S_local.k_19.d_5	salmonella_enterica.k32	local	19	5	532.39	2.22	528.60	99%	1101532	0	0	532.400083
salmonella_enterica.k32.S_global.k_20.d_na	salmonella_enterica.k32	global	20	na	322.67	2.32	273.89	85%	3683748	0	0	322.682434
salmonella_enterica.k32.S_local.k_20.d_1	salmonella_enterica.k32	local	20	1	126.24	1.25	113.00	90%	1101532	0	0	126.251393
salmonella_enterica.k32.S_local.k_20.d_2	salmonella_enterica.k32	local	20	2	123.26	1.41	117.25	96%	1101532	0	0	123.267425
salmonella_enterica.k32.S_local.k_20.d_3	salmonella_enterica.k32	local	20	3	133.03	1.49	129.80	98%	1101532	0	0	133.038177
salmonella_enterica.k32.S_local.k_20.d_4	salmonella_enterica.k32	local	20	4	228.11	2.42	223.17	98%	1101532	0	0	228.113042
salmonella_enterica.k32.S_local.k_20.d_5	salmonella_enterica.k32	local	20	5	494.20	2.05	490.63	99%	1101532	0	0	494.206146
salmonella_enterica.k32.S_global.k_21.d_na	salmonella_enterica.k32	global	21	na	332.44	2.14	290.13	87%	3757348	0	0	332.452019
salmonella_enterica.k32.S_local.k_21.d_1	salmonella_enterica.k32	local	21	1	122.05	1.23	108.27	89%	1101532	0	0	122.055695
salmonella_enterica.k32.S_local.k_21.d_2	salmonella_enterica.k32	local	21	2	115.99	1.45	110.37	96%	1101532	0	0	116.001914
salmonella_enterica.k32.S_local.k_21.d_3	salmonella_enterica.k32	local	21	3	128.96	1.29	125.42	98%	1101532	0	0	128.971113
salmonella_enterica.k32.S_local.k_21.d_4	salmonella_enterica.k32	local	21	4	216.45	2.23	211.00	98%	1101532	0	0	216.461431
salmonella_enterica.k32.S_local.k_21.d_5	salmonella_enterica.k32	local	21	5	471.34	2.01	467.42	99%	1101532	0	0	471.344307
salmonella_enterica.k32.S_global.k_22.d_na	salmonella_enterica.k32	global	22	na	367.62	1.58	316.07	86%	3827860	0	0	367.627881
salmonella_enterica.k32.S_local.k_22.d_1	salmonella_enterica.k32	local	22	1	116.95	1.33	110.62	95%	1101532	0	0	116.956119
salmonella_enterica.k32.S_local.k_22.d_2	salmonella_enterica.k32	local	22	2	109.24	1.18	103.23	95%	1101532	0	0	109.25205
salmonella_enterica.k32.S_local.k_22.d_3	salmonella_enterica.k32	local	22	3	149.22	1.65	143.91	97%	1101532	0	0	149.232525
salmonella_enterica.k32.S_local.k_22.d_4	salmonella_enterica.k32	local	22	4	229.38	1.90	224.75	98%	1101532	0	0	229.38506
salmonella_enterica.k32.S_local.k_22.d_5	salmonella_enterica.k32	local	22	5	515.07	2.63	510.05	99%	1101532	0	0	515.081418
salmonella_enterica.k32.S_global.k_23.d_na	salmonella_enterica.k32	global	23	na	343.88	2.17	293.44	85%	3897288	0	0	343.886898
salmonella_enterica.k32.S_local.k_23.d_1	salmonella_enterica.k32	local	23	1	112.43	1.01	105.41	94%	1101532	0	0	112.442676
salmonella_enterica.k32.S_local.k_23.d_2	salmonella_enterica.k32	local	23	2	118.18	1.07	114.85	98%	1101532	0	0	118.18981
salmonella_enterica.k32.S_local.k_23.d_3	salmonella_enterica.k32	local	23	3	156.21	1.71	152.34	98%	1101512	0	0	156.215127
salmonella_enterica.k32.S_local.k_23.d_4	salmonella_enterica.k32	local	23	4	243.05	2.24	238.09	98%	1101532	0	0	243.057839
salmonella_enterica.k32.S_local.k_23.d_5	salmonella_enterica.k32	local	23	5	548.55	2.59	543.85	99%	1101532	0	0	548.560653
salmonella_enterica.k32.S_global.k_31.d_na	salmonella_enterica.k32	global	31	na	445.10	2.84	390.11	88%	4419572	0	0	445.111413
salmonella_enterica.k32.S_local.k_31.d_1	salmonella_enterica.k32	local	31	1	139.59	1.22	124.83	90%	1101532	0	0	139.594031
salmonella_enterica.k32.S_local.k_31.d_2	salmonella_enterica.k32	local	31	2	121.89	1.11	114.90	95%	1101532	0	0	121.901057
salmonella_enterica.k32.S_local.k_31.d_3	salmonella_enterica.k32	local	31	3	148.03	1.33	144.72	98%	1101532	0	0	148.035538
salmonella_enterica.k32.S_local.k_31.d_4	salmonella_enterica.k32	local	31	4	286.87	2.41	281.24	98%	1101532	0	0	286.880505
salmonella_enterica.k32.S_local.k_31.d_5	salmonella_enterica.k32	local	31	5	721.10	2.59	715.00	99%	1101532	0	0	721.10945
sars-cov-2-pangenome.S_global.k_8.d_na	sars-cov-2-pangenome	global	8	na	0.79	0.00	0.78	99%	5548	0	0	0.801977
sars-cov-2-pangenome.S_local.k_8.d_1	sars-cov-2-pangenome	local	8	1	0.66	0.00	0.66	100%	4780	0	0	0.67268
sars-cov-2-pangenome.S_local.k_8.d_2	sars-cov-2-pangenome	local	8	2	0.67	0.00	0.66	99%	4912	0	0	0.677903
sars-cov-2-pangenome.S_local.k_8.d_3	sars-cov-2-pangenome	local	8	3	0.80	0.03	0.76	99%	5324	0	0	0.808996
sars-cov-2-pangenome.S_local.k_8.d_4	sars-cov-2-pangenome	local	8	4	0.82	0.02	0.78	99%	5644	0	0	0.826388
sars-cov-2-pangenome.S_local.k_8.d_5	sars-cov-2-pangenome	local	8	5	0.79	0.01	0.77	99%	5756	0	0	0.79978
