pref	genome	rate	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.001.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.001	local	15	3	ones	0.26	0.00	0.23	91%	5244	2808	0	0.266582
escherichia_coli.k32.r_0.001.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.001	local	15	3	runsapprox	0.30	0.00	0.30	99%	13836	0	0	0.312034
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.01	local	15	3	default	0.11	0.00	0.10	100%	1616	0	0	0.13214
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.01	local	15	3	ones	2.01	0.01	1.97	98%	21108	24136	0	2.021126
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.01	local	15	3	runsapprox	3.22	0.08	3.14	99%	123032	0	0	3.230107
escherichia_coli.k32.r_0.05.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.05	local	15	3	default	0.37	0.00	0.36	100%	1616	0	0	0.4254
escherichia_coli.k32.r_0.05.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.05	local	15	3	ones	13.23	0.08	13.12	99%	72272	81072	0	13.242153
escherichia_coli.k32.r_0.05.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.05	local	15	3	runsapprox	25.26	0.29	24.94	99%	557124	0	0	25.272533
escherichia_coli.k32.r_0.1.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.1	local	15	3	default	0.59	0.01	0.57	99%	1616	0	0	0.688962
escherichia_coli.k32.r_0.1.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.1	local	15	3	ones	24.39	0.11	24.25	99%	141080	0	0	24.397193
escherichia_coli.k32.r_0.1.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.1	local	15	3	runsapprox	41.41	0.50	40.82	99%	1114480	122664	0	41.415967
escherichia_coli.k32.r_0.2.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.2	local	15	3	default	0.79	0.04	0.74	99%	1616	0	0	0.901551
escherichia_coli.k32.r_0.2.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.2	local	15	3	ones	36.23	0.25	35.92	99%	278164	175560	0	36.242666
escherichia_coli.k32.r_0.2.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.2	local	15	3	runsapprox	74.23	0.76	73.38	99%	2228224	0	0	74.238996
escherichia_coli.k32.r_0.3.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.3	local	15	3	default	1.10	0.03	1.07	99%	1616	0	0	1.243389
escherichia_coli.k32.r_0.3.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.3	local	15	3	ones	47.81	0.29	47.48	99%	552600	87264	0	47.820627
escherichia_coli.k32.r_0.3.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.3	local	15	3	runsapprox	79.17	0.97	78.10	99%	3739496	0	0	79.182149
escherichia_coli.k32.r_0.4.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.4	local	15	3	default	1.26	0.03	1.23	99%	1616	0	0	1.420575
escherichia_coli.k32.r_0.4.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.4	local	15	3	ones	53.50	0.31	53.13	99%	552604	0	0	53.512163
escherichia_coli.k32.r_0.4.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.4	local	15	3	runsapprox	104.32	1.39	102.77	99%	4439036	0	0	104.325568
escherichia_coli.k32.r_0.5.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.5	local	15	3	default	1.34	0.02	1.32	99%	1616	0	0	1.505523
escherichia_coli.k32.r_0.5.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.5	local	15	3	ones	62.10	0.29	61.72	99%	552604	256592	0	62.11144
escherichia_coli.k32.r_0.5.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.5	local	15	3	runsapprox	135.20	1.69	133.31	99%	5124136	0	0	135.209296
escherichia_coli.k32.r_0.6.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.6	local	15	3	default	1.41	0.02	1.38	99%	1616	0	0	1.580851
escherichia_coli.k32.r_0.6.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.6	local	15	3	ones	59.16	0.39	58.70	99%	1101460	0	0	59.166039
escherichia_coli.k32.r_0.6.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.6	local	15	3	runsapprox	122.89	1.71	121.05	99%	7402564	0	0	122.903685
escherichia_coli.k32.r_0.7.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.7	local	15	3	default	1.45	0.05	1.40	99%	1616	0	0	1.634065
escherichia_coli.k32.r_0.7.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.7	local	15	3	ones	62.89	0.39	62.35	99%	1101484	279872	0	62.89605
escherichia_coli.k32.r_0.7.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.7	local	15	3	runsapprox	136.26	1.86	134.23	99%	8731952	0	0	136.269528
escherichia_coli.k32.r_0.8.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.8	local	15	3	default	1.28	0.02	1.26	99%	1616	0	0	1.448743
escherichia_coli.k32.r_0.8.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.8	local	15	3	ones	66.29	0.44	65.76	99%	1101480	284736	0	66.298109
escherichia_coli.k32.r_0.8.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.8	local	15	3	runsapprox	150.57	2.21	148.17	99%	8690888	0	0	150.583591
escherichia_coli.k32.r_0.9.S_local.k_15.d_3.M_default	escherichia_coli.k32	0.9	local	15	3	default	1.37	0.03	1.34	99%	1616	0	0	1.544042
escherichia_coli.k32.r_0.9.S_local.k_15.d_3.M_ones	escherichia_coli.k32	0.9	local	15	3	ones	75.75	0.45	75.22	99%	1101480	285040	0	75.760448
escherichia_coli.k32.r_0.9.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	0.9	local	15	3	runsapprox	175.78	2.84	172.74	99%	9300152	0	0	175.78604
escherichia_coli.k32.r_1.0.S_local.k_15.d_3.M_default	escherichia_coli.k32	1.0	local	15	3	default	1.41	0.03	1.37	99%	1616	0	0	1.583497
escherichia_coli.k32.r_1.0.S_local.k_15.d_3.M_ones	escherichia_coli.k32	1.0	local	15	3	ones	68.37	0.23	68.06	99%	1101484	0	0	68.381778
escherichia_coli.k32.r_1.0.S_local.k_15.d_3.M_runsapprox	escherichia_coli.k32	1.0	local	15	3	runsapprox	177.31	2.68	174.36	99%	9876320	0	0	177.318179
escherichia_coli.k32.r_0.000000001.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.000000001	local	15	4	default	0.00	0.00	0.00	100%	1332	0	0	0.007923
escherichia_coli.k32.r_0.000000001.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.000000001	local	15	4	ones	0.00	0.00	0.00	100%	4076	0	0	0.007151
escherichia_coli.k32.r_0.000000001.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.000000001	local	15	4	runsapprox	0.00	0.00	0.00	66%	4252	8	0	0.010439
escherichia_coli.k32.r_0.0001.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.0001	local	15	4	default	0.00	0.00	0.00	100%	1412	0	0	0.011932
escherichia_coli.k32.r_0.0001.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.0001	local	15	4	ones	0.02	0.00	0.02	95%	4240	0	0	0.025637
escherichia_coli.k32.r_0.0001.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.0001	local	15	4	runsapprox	0.04	0.00	0.03	97%	5108	0	0	0.047457
escherichia_coli.k32.r_0.001.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.001	local	15	4	default	0.01	0.00	0.01	100%	1612	0	0	0.025891
escherichia_coli.k32.r_0.001.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.001	local	15	4	ones	0.23	0.00	0.21	95%	5244	2688	0	0.235711
escherichia_coli.k32.r_0.001.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.001	local	15	4	runsapprox	0.35	0.00	0.34	99%	13836	0	0	0.356835
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.01	local	15	4	default	0.10	0.00	0.09	100%	1616	0	0	0.121718
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.01	local	15	4	ones	1.65	0.03	1.61	99%	21104	0	0	1.654361
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.01	local	15	4	runsapprox	3.09	0.12	2.96	99%	123064	0	0	3.096345
escherichia_coli.k32.r_0.05.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.05	local	15	4	default	0.25	0.00	0.25	100%	1616	0	0	0.293545
escherichia_coli.k32.r_0.05.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.05	local	15	4	ones	8.07	0.05	7.99	99%	72272	55952	0	8.082453
escherichia_coli.k32.r_0.05.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.05	local	15	4	runsapprox	14.67	0.24	14.41	99%	551732	0	0	14.67776
escherichia_coli.k32.r_0.1.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.1	local	15	4	default	0.38	0.00	0.38	100%	1616	0	0	0.447537
escherichia_coli.k32.r_0.1.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.1	local	15	4	ones	17.97	0.16	17.77	99%	141080	86336	0	17.979058
escherichia_coli.k32.r_0.1.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.1	local	15	4	runsapprox	29.25	0.74	28.47	99%	1098528	0	0	29.258227
escherichia_coli.k32.r_0.2.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.2	local	15	4	default	0.59	0.01	0.57	99%	1616	0	0	0.68508
escherichia_coli.k32.r_0.2.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.2	local	15	4	ones	32.17	0.11	32.01	99%	278168	86240	0	32.183142
escherichia_coli.k32.r_0.2.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.2	local	15	4	runsapprox	53.41	1.44	51.90	99%	2192756	0	0	53.419092
escherichia_coli.k32.r_0.3.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.3	local	15	4	default	0.75	0.01	0.73	99%	1616	0	0	0.857386
escherichia_coli.k32.r_0.3.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.3	local	15	4	ones	41.91	0.38	41.47	99%	552604	165952	0	41.921257
escherichia_coli.k32.r_0.3.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.3	local	15	4	runsapprox	72.03	1.10	70.85	99%	3684212	0	0	72.037865
escherichia_coli.k32.r_0.4.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.4	local	15	4	default	0.85	0.04	0.80	99%	1616	0	0	0.975037
escherichia_coli.k32.r_0.4.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.4	local	15	4	ones	48.48	0.26	48.16	99%	552600	165856	0	48.492757
escherichia_coli.k32.r_0.4.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.4	local	15	4	runsapprox	88.65	1.32	87.21	99%	4366080	0	0	88.657223
escherichia_coli.k32.r_0.5.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.5	local	15	4	default	1.12	0.01	1.10	99%	1616	0	0	1.265858
escherichia_coli.k32.r_0.5.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.5	local	15	4	ones	57.30	0.27	56.94	99%	552600	215680	0	57.311416
escherichia_coli.k32.r_0.5.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.5	local	15	4	runsapprox	127.05	1.42	125.45	99%	5037860	0	0	127.054574
escherichia_coli.k32.r_0.6.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.6	local	15	4	default	1.22	0.02	1.19	99%	1616	0	0	1.370151
escherichia_coli.k32.r_0.6.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.6	local	15	4	ones	53.23	0.29	52.87	99%	1101484	233400	0	53.242296
escherichia_coli.k32.r_0.6.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.6	local	15	4	runsapprox	112.94	1.89	110.94	99%	7307404	0	0	112.953193
escherichia_coli.k32.r_0.7.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.7	local	15	4	default	1.29	0.04	1.25	99%	1616	0	0	1.458575
escherichia_coli.k32.r_0.7.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.7	local	15	4	ones	59.64	0.37	59.21	99%	1101484	246824	0	59.650292
escherichia_coli.k32.r_0.7.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.7	local	15	4	runsapprox	129.38	2.68	126.54	99%	8655908	0	0	129.393337
escherichia_coli.k32.r_0.8.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.8	local	15	4	default	1.15	0.03	1.12	100%	1616	0	0	1.302709
escherichia_coli.k32.r_0.8.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.8	local	15	4	ones	62.99	0.40	62.51	99%	1101484	256280	0	62.994415
escherichia_coli.k32.r_0.8.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.8	local	15	4	runsapprox	146.04	2.47	143.40	99%	8592636	0	0	146.044717
escherichia_coli.k32.r_0.9.S_local.k_15.d_4.M_default	escherichia_coli.k32	0.9	local	15	4	default	1.17	0.02	1.15	99%	1616	0	0	1.326488
escherichia_coli.k32.r_0.9.S_local.k_15.d_4.M_ones	escherichia_coli.k32	0.9	local	15	4	ones	67.68	0.37	67.22	99%	1101480	261488	0	67.692736
escherichia_coli.k32.r_0.9.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	0.9	local	15	4	runsapprox	153.08	2.54	150.32	99%	9207336	0	0	153.085789
escherichia_coli.k32.r_1.0.S_local.k_15.d_4.M_default	escherichia_coli.k32	1.0	local	15	4	default	1.36	0.05	1.30	99%	1616	0	0	1.538118
escherichia_coli.k32.r_1.0.S_local.k_15.d_4.M_ones	escherichia_coli.k32	1.0	local	15	4	ones	65.28	0.38	64.81	99%	1101484	261784	0	65.29013
escherichia_coli.k32.r_1.0.S_local.k_15.d_4.M_runsapprox	escherichia_coli.k32	1.0	local	15	4	runsapprox	181.98	4.48	177.29	99%	9794792	0	0	181.989332
escherichia_coli.k32.r_0.000000001.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.000000001	local	15	5	default	0.00	0.00	0.00	100%	1332	0	0	0.007906
escherichia_coli.k32.r_0.000000001.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.000000001	local	15	5	ones	0.00	0.00	0.00	100%	4076	0	0	0.008727
escherichia_coli.k32.r_0.000000001.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.000000001	local	15	5	runs	0.00	0.00	0.00	100%	4252	0	0	0.008826
escherichia_coli.k32.r_0.000000001.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.000000001	local	15	5	runsapprox	0.00	0.00	0.00	100%	4252	0	0	0.006447
escherichia_coli.k32.r_0.0001.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.0001	local	15	5	default	0.00	0.00	0.00	80%	1412	0	0	0.010598
escherichia_coli.k32.r_0.0001.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.0001	local	15	5	ones	0.03	0.00	0.02	74%	4240	0	0	0.043108
escherichia_coli.k32.r_0.0001.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.0001	local	15	5	runs	0.03	0.00	0.03	100%	5432	0	0	0.043242
escherichia_coli.k32.r_0.0001.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.0001	local	15	5	runsapprox	0.05	0.00	0.03	72%	5108	280	0	0.058248
escherichia_coli.k32.r_0.001.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.001	local	15	5	default	0.01	0.00	0.01	100%	1616	0	0	0.025515
escherichia_coli.k32.r_0.001.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.001	local	15	5	ones	0.21	0.00	0.19	96%	5244	2384	0	0.213906
escherichia_coli.k32.r_0.001.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.001	local	15	5	runs	0.32	0.00	0.31	99%	13836	0	0	0.330125
escherichia_coli.k32.r_0.001.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.001	local	15	5	runsapprox	0.28	0.00	0.27	99%	13696	0	0	0.288149
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.01	local	15	5	default	0.07	0.00	0.07	98%	1616	0	0	0.092651
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.01	local	15	5	ones	1.10	0.02	1.08	99%	21104	0	0	1.11179
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.01	local	15	5	runs	3.03	0.07	2.94	99%	123048	0	0	3.035854
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.01	local	15	5	runsapprox	2.57	0.11	2.45	99%	122896	0	0	2.574988
escherichia_coli.k32.r_0.05.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.05	local	15	5	default	0.23	0.02	0.21	100%	1616	0	0	0.26859
escherichia_coli.k32.r_0.05.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.05	local	15	5	ones	6.20	0.03	6.14	99%	72272	44024	0	6.206291
escherichia_coli.k32.r_0.05.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.05	local	15	5	runs	91.49	0.41	91.02	99%	571032	0	0	91.498084
escherichia_coli.k32.r_0.05.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.05	local	15	5	runsapprox	12.51	0.41	12.08	99%	548736	0	0	12.519713
escherichia_coli.k32.r_0.1.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.1	local	15	5	default	0.37	0.01	0.36	99%	1616	0	0	0.42937
escherichia_coli.k32.r_0.1.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.1	local	15	5	ones	16.08	0.07	15.99	99%	141080	0	0	16.085688
escherichia_coli.k32.r_0.1.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.1	local	15	5	runs	646.99	0.88	644.99	99%	1171632	0	0	646.997101
escherichia_coli.k32.r_0.1.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.1	local	15	5	runsapprox	36.78	0.90	35.85	99%	1092968	0	0	36.793349
escherichia_coli.k32.r_0.2.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.2	local	15	5	default	0.52	0.02	0.50	99%	1616	0	0	0.602892
escherichia_coli.k32.r_0.2.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.2	local	15	5	ones	22.32	0.12	22.16	99%	278168	116032	0	22.333824
escherichia_coli.k32.r_0.2.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.2	local	15	5	runs	3745.75	1.44	3738.73	99%	2405024	0	0	3745.758656
escherichia_coli.k32.r_0.2.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.2	local	15	5	runsapprox	47.13	0.80	46.27	99%	2180208	0	0	47.134781
escherichia_coli.k32.r_0.3.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.3	local	15	5	default	0.77	0.01	0.76	99%	1616	0	0	0.882668
escherichia_coli.k32.r_0.3.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.3	local	15	5	ones	34.95	0.22	34.67	99%	552604	150432	0	34.956112
escherichia_coli.k32.r_0.3.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.3	local	15	5	runs	7824.62	20.70	7791.27	99%	3989212	0	0	7824.632058
escherichia_coli.k32.r_0.3.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.3	local	15	5	runsapprox	60.43	1.17	59.18	99%	3664448	0	0	60.434986
escherichia_coli.k32.r_0.4.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.4	local	15	5	default	0.80	0.01	0.78	99%	1616	0	0	0.917667
escherichia_coli.k32.r_0.4.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.4	local	15	5	ones	41.97	0.21	41.70	99%	552600	178464	0	41.979501
escherichia_coli.k32.r_0.4.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.4	local	15	5	runs	10862.96	4.87	10841.32	99%	4732436	0	0	10862.972158
escherichia_coli.k32.r_0.4.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.4	local	15	5	runsapprox	85.70	1.38	84.22	99%	4342000	0	0	85.704551
escherichia_coli.k32.r_0.5.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.5	local	15	5	default	1.03	0.02	1.01	100%	1616	0	0	1.166356
escherichia_coli.k32.r_0.5.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.5	local	15	5	ones	49.94	0.25	49.63	99%	552604	201336	0	49.951812
escherichia_coli.k32.r_0.5.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.5	local	15	5	runs	10996.54	3.52	10975.84	99%	5399992	0	0	10996.551276
escherichia_coli.k32.r_0.5.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.5	local	15	5	runsapprox	107.79	1.35	106.29	99%	5008988	0	0	107.798878
escherichia_coli.k32.r_0.6.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.6	local	15	5	default	0.98	0.03	0.94	99%	1616	0	0	1.181261
escherichia_coli.k32.r_0.6.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.6	local	15	5	ones	49.32	0.27	48.99	99%	1101480	219960	0	49.331865
escherichia_coli.k32.r_0.6.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.6	local	15	5	runs	9361.50	4.89	9342.24	99%	7614588	0	0	9361.509048
escherichia_coli.k32.r_0.6.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.6	local	15	5	runsapprox	127.86	2.24	125.47	99%	7275248	0	0	127.874388
escherichia_coli.k32.r_0.7.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.7	local	15	5	default	1.23	0.04	1.18	99%	1616	0	0	1.387456
escherichia_coli.k32.r_0.7.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.7	local	15	5	ones	57.06	0.31	56.67	99%	1101480	88032	0	57.068465
escherichia_coli.k32.r_0.7.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.7	local	15	5	runs	6353.71	6.40	6337.07	99%	8640936	146496	0	6353.719565
escherichia_coli.k32.r_0.7.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.7	local	15	5	runsapprox	122.45	2.08	120.21	99%	8640936	0	0	122.463262
escherichia_coli.k32.r_0.8.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.8	local	15	5	default	1.09	0.02	1.07	100%	1616	0	0	1.240402
escherichia_coli.k32.r_0.8.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.8	local	15	5	ones	57.26	0.35	56.85	99%	1101480	0	0	57.268501
escherichia_coli.k32.r_0.8.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.8	local	15	5	runs	3747.38	12.72	3728.95	99%	8674964	0	0	3747.390129
escherichia_coli.k32.r_0.8.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.8	local	15	5	runsapprox	144.48	3.88	140.41	99%	8576832	245088	0	144.484876
escherichia_coli.k32.r_0.9.S_local.k_15.d_5.M_default	escherichia_coli.k32	0.9	local	15	5	default	1.13	0.03	1.09	99%	1616	0	0	1.295891
escherichia_coli.k32.r_0.9.S_local.k_15.d_5.M_ones	escherichia_coli.k32	0.9	local	15	5	ones	61.09	0.35	60.44	99%	1101460	251400	0	61.100278
escherichia_coli.k32.r_0.9.S_local.k_15.d_5.M_runs	escherichia_coli.k32	0.9	local	15	5	runs	1532.10	3.53	1526.63	99%	9172808	0	0	1532.106705
escherichia_coli.k32.r_0.9.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	0.9	local	15	5	runsapprox	149.22	2.57	146.43	99%	9172808	0	0	149.225295
escherichia_coli.k32.r_1.0.S_local.k_15.d_5.M_default	escherichia_coli.k32	1.0	local	15	5	default	1.12	0.03	1.08	99%	1616	0	0	1.278199
escherichia_coli.k32.r_1.0.S_local.k_15.d_5.M_ones	escherichia_coli.k32	1.0	local	15	5	ones	63.66	0.31	63.26	99%	1101484	253080	0	63.669709
escherichia_coli.k32.r_1.0.S_local.k_15.d_5.M_runs	escherichia_coli.k32	1.0	local	15	5	runs	433.66	3.23	429.90	99%	9763440	0	0	433.671661
escherichia_coli.k32.r_1.0.S_local.k_15.d_5.M_runsapprox	escherichia_coli.k32	1.0	local	15	5	runsapprox	161.10	2.91	157.94	99%	9763280	0	0	161.105038
escherichia_coli.k32.r_0.000000001.S_global.k_17.d_na.M_default	escherichia_coli.k32	0.000000001	global	17	na	default	0.00	0.00	0.00	100%	1332	0	0	0.008548
escherichia_coli.k32.r_0.000000001.S_global.k_17.d_na.M_ones	escherichia_coli.k32	0.000000001	global	17	na	ones	0.00	0.00	0.00	100%	4056	0	0	0.007108
escherichia_coli.k32.r_0.000000001.S_global.k_17.d_na.M_runs	escherichia_coli.k32	0.000000001	global	17	na	runs	0.00	0.00	0.00	60%	4232	8	0	0.007776
escherichia_coli.k32.r_0.000000001.S_global.k_17.d_na.M_runsapprox	escherichia_coli.k32	0.000000001	global	17	na	runsapprox	0.00	0.00	0.00	100%	4232	0	0	0.005474
escherichia_coli.k32.r_0.0001.S_global.k_17.d_na.M_default	escherichia_coli.k32	0.0001	global	17	na	default	0.00	0.00	0.00	100%	1408	0	0	0.011296
escherichia_coli.k32.r_0.0001.S_global.k_17.d_na.M_ones	escherichia_coli.k32	0.0001	global	17	na	ones	0.03	0.00	0.02	61%	4220	0	0	0.043179
escherichia_coli.k32.r_0.0001.S_global.k_17.d_na.M_runs	escherichia_coli.k32	0.0001	global	17	na	runs	0.05	0.00	0.03	75%	5212	0	0	0.056459
escherichia_coli.k32.r_0.0001.S_global.k_17.d_na.M_runsapprox	escherichia_coli.k32	0.0001	global	17	na	runsapprox	0.06	0.00	0.03	63%	5212	248	0	0.064875
escherichia_coli.k32.r_0.001.S_global.k_17.d_na.M_default	escherichia_coli.k32	0.001	global	17	na	default	0.03	0.00	0.03	97%	1616	0	0	0.050315
escherichia_coli.k32.r_0.001.S_global.k_17.d_na.M_ones	escherichia_coli.k32	0.001	global	17	na	ones	0.15	0.01	0.13	92%	6244	2024	0	0.163176
escherichia_coli.k32.r_0.001.S_global.k_17.d_na.M_runs	escherichia_coli.k32	0.001	global	17	na	runs	0.23	0.01	0.21	99%	18580	0	0	0.23374
escherichia_coli.k32.r_0.001.S_global.k_17.d_na.M_runsapprox	escherichia_coli.k32	0.001	global	17	na	runsapprox	0.22	0.01	0.21	99%	18580	0	0	0.229177
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.M_default	escherichia_coli.k32	0.01	global	17	na	default	0.07	0.00	0.07	100%	1616	0	0	0.092555
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.M_ones	escherichia_coli.k32	0.01	global	17	na	ones	1.67	0.02	1.62	98%	21084	15776	0	1.674967
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.M_runs	escherichia_coli.k32	0.01	global	17	na	runs	3.10	0.06	3.03	99%	141864	0	0	3.106431
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.M_runsapprox	escherichia_coli.k32	0.01	global	17	na	runsapprox	2.76	0.05	2.69	99%	141420	0	0	2.767779
