genome	S_alg	k	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae	prophasm	22	1.95	0.05	1.89	99%	112676	0	4320	1.954188
spneumo-pangenome	prophasm	19	11.98	0.43	11.53	99%	353868	0	23896	11.988871
minikraken4GB	unitigs	23	6086.91	25881.74	25876.94	850%	20129944	329090624	323490512	6086.922743
escherichia_coli.k32	unitigs	21	238.32	144.03	960.83	463%	1712520	0	15826232	238.327219
yeast	unitigs	8	2.88	5.62	3.19	306%	347580	0	95736	2.887479
spneumo-pangenome	eulertigs	24	2.88	0.05	2.82	99%	164196	0	26016	2.884257
sars-cov-2-pangenome	eulertigs	14	7.60	0.51	7.06	99%	398804	0	22360	7.611482
yeast	greedytigs	22	0.75	0.02	0.74	101%	18004	0	22664	0.758679
salmonella_enterica.k32	eulertigs	41	21.16	0.63	20.51	99%	1304116	0	335360	21.170186
neisseria_gonorrhoeae.pangenome.k32	prophasm	10	3.65	0.02	3.62	99%	45012	0	1144	3.659901
streptococcus_pneumoniae-large	eulertigs	19	17.70	0.66	17.01	99%	891760	0	163184	17.71225
escherichia_coli.k32	greedytigs	19	48.33	1.17	55.18	116%	4030312	2928	329112	48.33524
streptococcus_pneumoniae-large	eulertigs	14	111.26	2.42	107.88	99%	6401908	0	218072	111.264709
yeast	prophasm	22	12.99	0.17	12.81	99%	477724	0	23232	12.997554
sars-cov-2-pangenome	matchtigs	9	4.00	0.05	13.21	331%	66024	3904	2416	4.013808
spneumoniae	eulertigs	22	0.18	0.00	0.18	99%	4824	0	4248	0.190811
spneumoniae	unitigs	29	19.14	16.33	18.32	181%	752392	0	201168	19.149711
spneumoniae	prophasm	9	0.16	0.01	0.15	100%	28484	0	312	0.172355
salmonella_enterica.k32	eulertigs	16	80.00	1.54	78.01	99%	4527336	0	284032	80.007543
yeast	unitigs	11	24.61	186.02	46.25	943%	450248	0	1475488	24.619228
spneumoniae	eulertigs	51	0.18	0.00	0.18	99%	4388	0	4288	0.192884
minikraken4GB	greedytigs	13	408.36	5.09	416.34	103%	11741812	1960	65544	408.373842
streptococcus_pneumoniae-large	greedytigs	21	15.36	0.66	16.53	111%	1101656	0	144000	15.373295
streptococcus_pneumoniae-large	matchtigs	41	13.16	0.49	12.66	99%	1028204	0	209664	13.164726
spneumoniae	prophasm	23	1.90	0.04	1.86	99%	112728	0	4328	1.912087
escherichia_coli.k32	greedytigs	23	42.89	1.02	47.58	113%	3301396	0	355488	42.89551
neisseria_gonorrhoeae.pangenome.k32	eulertigs	17	7.15	0.29	6.83	99%	358652	0	59504	7.156877
spneumoniae	greedytigs	15	0.48	0.02	0.47	102%	47576	0	4192	0.493346
neisseria_gonorrhoeae.pangenome.k32	prophasm	18	33.93	0.69	33.21	99%	972284	0	57216	33.938325
salmonella_enterica.k32	greedytigs	51	17.52	0.55	16.95	99%	1274428	0	277304	17.527252
neisseria_gonorrhoeae.pangenome.k32	prophasm	15	35.30	0.90	34.37	99%	905664	0	83856	35.311617
yeast	matchtigs	18	718.65	0.18	718.26	99%	432836	0	126656	718.656931
sars-cov-2-pangenome	eulertigs	13	7.27	0.19	7.04	99%	504896	0	20848	7.279762
spneumo-pangenome	prophasm	20	10.28	0.13	10.14	99%	359504	0	24528	10.290259
yeast	eulertigs	11	8.71	0.21	8.44	99%	390268	0	6136	8.717753
salmonella_enterica.k32	prophasm	22	134.08	1.53	132.48	99%	3433192	0	257896	134.093513
sars-cov-2-pangenome	greedytigs	20	7.82	0.39	12.78	168%	444284	0	21688	7.824711
minikraken4GB	greedytigs	12	66.69	1.34	117.16	177%	3909944	64	16416	66.694982
spneumoniae	unitigs	11	12.36	89.68	22.99	911%	270376	0	629160	12.372473
yeast	prophasm	8	0.58	0.01	0.57	100%	24556	8	80	0.624604
salmonella_enterica.k32	eulertigs	9	0.39	0.03	0.35	99%	29448	0	264	0.394771
escherichia_coli.k32	unitigs	18	245.68	812.34	1191.61	815%	1871656	0	17928896	245.689323
neisseria_gonorrhoeae.pangenome.k32	eulertigs	13	44.50	0.94	42.93	98%	2612160	0	77384	44.513143
spneumoniae	unitigs	14	7.27	22.83	19.91	587%	275164	0	358040	7.276321
sars-cov-2-pangenome	unitigs	17	18.48	78.89	53.54	716%	593476	0	1029544	18.489026
sars-cov-2-pangenome	greedytigs	22	6.68	0.39	13.06	201%	450344	0	24104	6.684175
streptococcus_pneumoniae-large	eulertigs	15	125.06	12.73	111.83	99%	5454588	0	235440	125.071008
spneumoniae	matchtigs	26	0.21	0.00	0.21	101%	7448	0	5056	0.219162
escherichia_coli.k32	matchtigs	61	28.52	2.54	25.51	98%	1720316	0	385640	28.531408
spneumoniae	greedytigs	23	0.15	0.00	0.16	103%	6076	0	4216	0.161221
salmonella_enterica.k32	greedytigs	22	25.73	0.81	28.36	113%	2166016	0	211648	25.742262
escherichia_coli.k32	greedytigs	10	4.49	0.15	4.95	113%	222052	0	1032	4.497427
neisseria_gonorrhoeae.pangenome.k32	unitigs	16	59.74	141.30	209.01	586%	820804	37664	3657696	59.746834
spneumoniae	eulertigs	26	0.20	0.00	0.19	99%	4600	0	4264	0.205781
streptococcus_pneumoniae-large	unitigs	13	252.57	1838.42	484.00	919%	1239248	0	14882952	252.582181
neisseria_gonorrhoeae.pangenome.k32	unitigs	12	79.52	618.31	150.83	967%	712480	0	4851128	79.529625
spneumoniae	eulertigs	24	0.19	0.00	0.18	99%	4852	0	4256	0.199326
neisseria_gonorrhoeae.pangenome.k32	unitigs	8	3.21	5.32	7.03	384%	572912	0	200320	3.219768
streptococcus_pneumoniae-large	prophasm	12	43.56	0.21	43.32	99%	359788	0	25656	43.571802
human	unitigs	61	1792.24	673.42	26109.99	1494%	12445428	40462072	315205024	1792.287156
streptococcus_pneumoniae-large	prophasm	8	6.24	0.01	6.23	99%	24396	0	80	6.251444
minikraken4GB	prophasm	15	3364.02	156.91	3205.08	99%	22987744	24287728	1699016	3364.024805
yeast	eulertigs	17	1.99	0.07	1.88	98%	70252	0	24064	1.998258
spneumo-pangenome	unitigs	12	38.12	276.49	72.93	916%	645792	0	2055920	38.130067
sars-cov-2-pangenome	unitigs	11	17.64	115.32	32.82	839%	450576	0	979664	17.653262
sars-cov-2-pangenome	prophasm	26	13.05	0.16	12.88	99%	406416	0	40280	13.061272
escherichia_coli.k32	unitigs	9	12.40	12.16	50.23	502%	2606024	0	1608560	12.411897
spneumo-pangenome	greedytigs	21	2.90	0.10	2.78	99%	237888	0	21072	2.911253
spneumoniae	eulertigs	17	0.17	0.01	0.16	100%	7684	0	4288	0.183071
spneumo-pangenome	eulertigs	17	3.09	0.09	2.99	99%	182860	0	22632	3.102254
spneumoniae	matchtigs	24	0.21	0.01	0.20	101%	7684	0	4984	0.220076
spneumo-pangenome	eulertigs	22	2.88	0.08	2.78	99%	162604	0	25192	2.887124
spneumoniae.matchtigs	greedytigs	16	0.20	0.01	0.20	106%	23240	0	4192	0.210776
streptococcus_pneumoniae-large	prophasm	23	130.99	3.30	127.57	99%	2800664	0	172296	130.998029
neisseria_gonorrhoeae.pangenome.k32	unitigs	11	26.98	201.10	52.50	939%	531512	0	1736024	26.99267
neisseria_gonorrhoeae.pangenome.k32	eulertigs	51	3.56	0.07	3.48	99%	103640	0	58720	3.57155
sars-cov-2-pangenome	greedytigs	41	2.84	0.13	2.70	99%	236164	0	42576	2.851425
neisseria_gonorrhoeae.pangenome.k32	eulertigs	16	12.49	0.38	12.09	99%	746092	0	67184	12.501136
spneumoniae	eulertigs	29	0.21	0.00	0.21	100%	4620	0	4272	0.223698
spneumo-pangenome	unitigs	51	14.49	10.83	72.85	577%	2104800	9640	847016	14.493557
spneumo-pangenome	unitigs	23	14.44	34.60	60.44	657%	620436	0	975896	14.450595
streptococcus_pneumoniae-large	eulertigs	12	32.36	0.63	30.47	96%	1603348	0	24928	32.370506
escherichia_coli.k32	matchtigs	51	44.29	8.21	28.56	83%	2232844	0	452000	44.296805
yeast	greedytigs	11	94.86	1.90	330.59	350%	864280	0	4096	94.873341
streptococcus_pneumoniae-large	eulertigs	18	22.86	0.41	22.41	99%	1137740	0	163800	22.864646
salmonella_enterica.k32	greedytigs	20	26.15	0.75	28.83	113%	2309520	0	202816	26.156667
yeast	eulertigs	30	1.04	0.01	1.02	99%	9560	0	22856	1.049171
spneumo-pangenome	unitigs	26	22.35	38.77	76.63	516%	2246016	0	1048536	22.35867
spneumoniae	prophasm	10	0.33	0.02	0.31	100%	42004	0	1592	0.342289
spneumo-pangenome	eulertigs	15	5.07	0.14	4.90	99%	334844	0	23904	5.081494
yeast	greedytigs	14	27.74	0.48	49.37	179%	1653704	0	22656	27.744202
sars-cov-2-pangenome	eulertigs	8	0.08	0.01	0.07	97%	9564	0	72	0.087914
yeast	unitigs	25	18.05	9.82	78.91	491%	1140540	0	955656	18.062318
streptococcus_pneumoniae-large	eulertigs	20	16.16	0.55	15.58	99%	797424	0	163656	16.170616
spneumo-pangenome	prophasm	14	9.18	0.13	9.04	99%	331440	0	27824	9.193433
yeast	eulertigs	25	1.00	0.00	0.99	99%	10760	0	22840	1.006556
spneumo-pangenome	unitigs	9	3.68	11.44	6.46	486%	399348	0	172456	3.686226
yeast	eulertigs	19	0.90	0.01	0.89	99%	20388	0	23000	0.912383
salmonella_enterica.k32	greedytigs	23	25.98	0.73	29.12	114%	2139788	0	215352	25.991818
spneumoniae	matchtigs	20	0.21	0.01	0.20	102%	8676	0	5264	0.223431
salmonella_enterica.k32	prophasm	18	132.08	1.68	130.30	99%	3208660	0	239400	132.084056
yeast	prophasm	17	12.71	0.19	12.50	99%	474432	0	24496	12.718499
yeast	eulertigs	51	0.98	0.02	0.95	99%	7964	0	22960	0.988155
streptococcus_pneumoniae-large	greedytigs	20	17.03	1.01	18.25	113%	1209516	0	142432	17.03855
yeast	unitigs	26	17.79	9.60	75.38	477%	1114592	6880	941016	17.799245
streptococcus_pneumoniae-large	unitigs	17	136.15	526.53	536.07	780%	1221352	0	9108408	136.157393
neisseria_gonorrhoeae.pangenome.k32	greedytigs	15	38.31	1.47	69.63	185%	2596096	0	50792	38.31625
spneumo-pangenome	prophasm	21	11.12	0.23	10.87	99%	364824	0	24712	11.124736
salmonella_enterica.k32	greedytigs	12	1918.96	1.69	3724.31	194%	3675404	0	16776	1918.965707
salmonella_enterica.k32	prophasm	14	107.89	1.07	106.75	99%	1845512	0	296344	107.899009
neisseria_gonorrhoeae.pangenome.k32	prophasm	16	40.25	0.68	39.54	99%	946664	0	68648	40.253839
spneumoniae	unitigs	19	3.92	3.98	15.21	488%	252272	0	206056	3.93258
salmonella_enterica.k32	matchtigs	41	21.61	0.70	20.93	100%	1986136	0	335368	21.617787
yeast	unitigs	61	95.12	66.73	133.38	210%	9569112	6880	1364296	95.124114
sars-cov-2-pangenome	greedytigs	9	0.96	0.03	1.49	157%	69384	0	264	0.971401
escherichia_coli.k32	unitigs	51	92.62	100.47	819.64	993%	2773948	0	11070104	92.627704
sars-cov-2-pangenome	prophasm	30	14.48	0.24	14.23	99%	457548	0	46960	14.491943
minikraken4GB	eulertigs	23	2776.23	277.28	1901.35	78%	169176076	3664	21841344	2776.241336
spneumoniae	greedytigs	21	0.15	0.00	0.15	102%	6240	0	4208	0.160897
salmonella_enterica.k32	greedytigs	18	36.98	1.89	40.84	115%	2872512	0	193048	36.98607
spneumoniae	eulertigs	8	0.08	0.01	0.07	95%	9656	0	72	0.092188
sars-cov-2-pangenome	prophasm	10	1.50	0.01	1.49	99%	43708	0	1504	1.514203
yeast	matchtigs	61	0.93	0.02	0.90	98%	10724	0	23584	0.94107
yeast	eulertigs	22	1.20	0.04	0.99	86%	12352	0	22848	1.209694
sars-cov-2-pangenome	greedytigs	15	7.28	0.16	13.30	185%	522828	0	15328	7.285075
spneumoniae	eulertigs	31	0.19	0.01	0.18	98%	4640	0	4272	0.203555
yeast	greedytigs	18	1.16	0.05	1.12	100%	54208	0	22608	1.17024
sars-cov-2-pangenome	prophasm	17	9.44	0.10	9.33	99%	246692	0	26112	9.451839
spneumoniae	greedytigs	10	29.86	0.16	30.84	103%	158272	0	984	29.873035
minikraken4GB	unitigs	21	8657.48	38001.24	33246.28	822%	21671152	256835584	428574456	8657.490459
salmonella_enterica.k32	greedytigs	17	45.69	1.39	52.83	118%	4275412	0	189248	45.698856
neisseria_gonorrhoeae.pangenome.k32	eulertigs	18	4.49	0.17	4.31	99%	208224	0	56152	4.496861
spneumoniae	greedytigs	18	0.14	0.00	0.15	104%	7868	0	4200	0.151182
sars-cov-2-pangenome	eulertigs	51	2.61	0.11	2.47	99%	146784	0	37664	2.615364
spneumo-pangenome	prophasm	8	0.66	0.00	0.65	100%	24444	0	80	0.66489
minikraken4GB	unitigs	10	128.20	130.36	1070.90	937%	6498132	20602160	29955544	128.20681
escherichia_coli.k32	matchtigs	22	47022.07	17.20	46956.78	99%	7309324	0	2428232	47022.080654
minikraken4GB	eulertigs	11	8.07	0.21	7.60	96%	427916	3112	4104	8.084113
neisseria_gonorrhoeae.pangenome.k32	eulertigs	61	3.08	0.06	3.01	99%	80180	0	54264	3.093166
streptococcus_pneumoniae-large	eulertigs	16	60.09	3.17	56.38	99%	3356264	0	208864	60.095901
escherichia_coli.k32	unitigs	22	196.65	170.08	1100.36	646%	1702860	0	15780264	196.655156
spneumoniae	unitigs	28	20.59	17.75	18.60	176%	750816	8072	203296	20.598927
spneumoniae	prophasm	12	1.66	0.05	1.60	99%	95604	0	8144	1.669842
neisseria_gonorrhoeae.pangenome.k32	unitigs	19	25.28	24.19	147.67	679%	732856	0	2384456	25.290315
spneumoniae	greedytigs	19	0.15	0.00	0.15	103%	6796	0	4200	0.155823
neisseria_gonorrhoeae.pangenome.k32	prophasm	11	10.79	0.06	10.71	99%	110052	0	5120	10.796834
sars-cov-2-pangenome	eulertigs	11	6.08	0.30	5.71	98%	287688	0	6576	6.090562
escherichia_coli.k32	prophasm	11	77.01	0.14	76.83	99%	111760	0	4448	77.015572
salmonella_enterica.k32	eulertigs	10	1.90	0.04	1.85	99%	108864	0	1040	1.906792
spneumo-pangenome	prophasm	31	11.88	0.18	11.69	99%	418756	0	31336	11.892428
spneumo-pangenome	greedytigs	19	3.01	0.07	2.98	101%	247992	0	20168	3.020066
spneumoniae	matchtigs	14	8.50	0.14	9.13	109%	299260	64	56336	8.505073
yeast	unitigs	31	9.91	7.59	60.31	684%	603108	0	952808	9.922709
streptococcus_pneumoniae-large	greedytigs	19	17.79	0.73	19.86	115%	1376068	0	140600	17.795627
spneumo-pangenome	unitigs	18	14.76	34.65	62.08	655%	605660	0	963136	14.770596
salmonella_enterica.k32	prophasm	15	121.77	1.34	120.31	99%	2748404	332152	331312	121.779946
spneumoniae	matchtigs	19	0.21	0.02	0.20	102%	8872	0	5192	0.222153
streptococcus_pneumoniae-large	eulertigs	41	12.86	0.33	12.52	99%	677572	0	209648	12.867283
spneumo-pangenome	greedytigs	29	3.08	0.06	3.03	100%	242468	0	25040	3.094023
minikraken4GB	eulertigs	10	2.31	0.07	1.92	86%	108800	3096	1040	2.317307
streptococcus_pneumoniae-large	unitigs	18	99.58	319.57	483.67	806%	1182220	0	7637920	99.586399
sars-cov-2-pangenome	prophasm	15	8.40	0.11	8.27	99%	220356	0	23672	8.406089
neisseria_gonorrhoeae.pangenome.k32	eulertigs	12	30.74	1.31	28.77	97%	1375848	0	28744	30.746955
salmonella_enterica.k32	eulertigs	20	28.10	0.53	27.54	99%	1527560	0	244912	28.103593
yeast	eulertigs	12	20.45	0.95	19.43	99%	991364	0	24584	20.458118
spneumoniae	eulertigs	15	0.43	0.01	0.41	99%	29028	0	4704	0.442964
yeast	unitigs	20	11.95	13.03	68.66	683%	576344	0	1076880	11.954395
spneumo-pangenome	greedytigs	25	3.03	0.08	2.94	100%	237316	0	23120	3.036087
yeast	unitigs	28	16.91	8.54	72.20	477%	1135284	0	918352	16.915721
escherichia_coli.k32	eulertigs	16	177.58	4.18	172.33	99%	9430676	0	510544	177.592729
sars-cov-2-pangenome	unitigs	23	20.13	54.79	65.28	596%	642620	0	1204696	20.140037
yeast	greedytigs	20	0.76	0.07	0.70	101%	22688	0	22640	0.768145
streptococcus_pneumoniae-large	unitigs	15	317.61	2076.87	762.18	893%	1442984	0	17069784	317.614039
spneumoniae	matchtigs	23	0.21	0.01	0.20	101%	8140	0	5184	0.219252
sars-cov-2-pangenome	matchtigs	51	2.46	0.09	2.36	100%	238440	0	37680	2.466256
neisseria_gonorrhoeae.pangenome.k32	unitigs	17	38.11	79.20	182.35	686%	764536	0	2850904	38.117962
minikraken4GB	unitigs	12	228.39	870.86	1232.56	920%	6478556	24300624	30685256	228.40198
streptococcus_pneumoniae-large	unitigs	31	68.82	114.68	421.23	778%	1414820	173928	6656632	68.829346
escherichia_coli.k32	greedytigs	31	42.84	0.95	47.74	113%	3064676	0	408176	42.845069
spneumoniae	matchtigs	18	0.21	0.00	0.21	102%	9928	0	5200	0.219129
salmonella_enterica.k32	prophasm	9	12.53	0.05	12.46	99%	28488	0	288	12.536632
yeast	prophasm	13	10.91	0.15	10.75	99%	369248	0	44256	10.922269
escherichia_coli.k32	unitigs	31	196.27	253.93	1223.87	752%	2032108	0	16323912	196.275696
salmonella_enterica.k32	unitigs	14	479.75	2220.87	966.11	664%	1589936	0	26758784	479.760448
streptococcus_pneumoniae-large	eulertigs	13	89.04	2.89	84.69	98%	4357412	0	114008	89.05187
escherichia_coli.k32	prophasm	18	247.05	3.50	243.07	99%	5663260	0	403376	247.060886
streptococcus_pneumoniae-large	greedytigs	8	0.60	0.00	0.12	21%	16160	0	72	0.606761
yeast	prophasm	19	12.83	0.15	12.67	99%	476624	0	23392	12.841168
sars-cov-2-pangenome	unitigs	61	88.94	67.13	63.08	146%	21945776	15800	755912	88.943599
spneumo-pangenome	greedytigs	13	46.26	1.79	194.80	424%	1280184	0	13496	46.270157
yeast	greedytigs	21	0.73	0.01	0.73	101%	20084	0	22656	0.739317
spneumo-pangenome	matchtigs	9	3.15	0.05	13.81	439%	66188	0	2304	3.156557
minikraken4GB	eulertigs	13	168.12	4.16	141.54	86%	6796456	2064	65544	168.133881
streptococcus_pneumoniae-large	eulertigs	17	32.91	0.59	32.14	99%	1877328	0	181560	32.922294
escherichia_coli.k32	prophasm	15	229.47	2.72	226.17	99%	3865584	8	577504	229.478506
neisseria_gonorrhoeae.pangenome.k32	greedytigs	13	329.58	1.67	1754.09	532%	4838300	0	34008	329.593505
yeast	matchtigs	26	1.10	0.01	1.09	100%	21488	0	25888	1.104819
escherichia_coli.k32	unitigs	12	111.43	827.22	239.42	957%	2280740	0	7853056	111.442095
streptococcus_pneumoniae-large	unitigs	16	214.05	1169.07	609.29	830%	1275896	0	12239080	214.061823
streptococcus_pneumoniae-large	greedytigs	23	16.86	1.11	17.68	111%	1069612	0	148368	16.864273
streptococcus_pneumoniae-large	matchtigs	61	9.62	0.28	9.33	99%	593456	0	159056	9.625505
salmonella_enterica.k32	eulertigs	23	28.04	0.75	27.26	99%	1421312	0	258184	28.046242
sars-cov-2-pangenome	prophasm	29	14.17	0.19	13.97	99%	444644	0	45352	14.178596
salmonella_enterica.k32	prophasm	8	10.97	0.05	10.91	99%	24396	0	80	10.973947
spneumo-pangenome	eulertigs	61	1.60	0.14	1.45	99%	66840	0	24504	1.606334
spneumo-pangenome	greedytigs	23	3.55	0.11	3.54	102%	239784	0	22136	3.561683
streptococcus_pneumoniae-large	eulertigs	23	15.59	0.53	15.03	99%	714500	0	169080	15.596172
salmonella_enterica.k32	eulertigs	15	143.52	5.96	136.04	98%	7596384	0	322104	143.534016
minikraken4GB	unitigs	9	121.71	78.76	936.90	834%	6476464	1280	34000328	121.721537
spneumoniae	unitigs	10	6.82	42.33	11.34	786%	202416	0	325032	6.832236
escherichia_coli.k32	eulertigs	19	49.67	1.03	48.39	99%	2604604	0	398192	49.677466
escherichia_coli.k32	prophasm	19	243.31	3.28	239.61	99%	5767812	0	406464	243.323139
spneumo-pangenome	greedytigs	15	7.38	0.43	8.99	127%	540700	0	17776	7.390887
neisseria_gonorrhoeae.pangenome.k32	eulertigs	23	3.63	0.15	3.47	99%	128256	0	56352	3.639107
spneumo-pangenome	matchtigs	17	70.13	0.24	70.22	100%	389444	0	108640	70.142813
neisseria_gonorrhoeae.pangenome.k32	prophasm	23	36.33	0.88	35.43	99%	1355368	0	57368	36.338739
salmonella_enterica.k32	prophasm	17	128.84	1.45	127.29	99%	3128728	0	259672	128.84638
streptococcus_pneumoniae-large	greedytigs	18	22.50	1.15	24.01	111%	1825196	0	137952	22.506346
streptococcus_pneumoniae-large	unitigs	61	38.50	17.21	367.74	999%	2399244	0	4432104	38.511353
escherichia_coli.k32	prophasm	21	262.04	8.49	253.37	99%	5943460	0	403920	262.043165
yeast	unitigs	12	57.13	427.88	108.30	938%	663168	0	3233360	57.134545
escherichia_coli.k32	unitigs	14	739.50	3045.70	1492.41	613%	2117456	0	43181200	739.50989
escherichia_coli.k32	eulertigs	17	95.16	1.72	92.82	99%	5200332	0	439544	95.169693
yeast	eulertigs	15	7.76	0.28	7.43	99%	458696	0	31856	7.771522
salmonella_enterica.k32	unitigs	13	316.15	2312.44	595.56	919%	1537984	0	18361728	316.154529
spneumoniae	prophasm	17	1.83	0.06	1.76	99%	112308	0	4360	1.841692
salmonella_enterica.k32	unitigs	18	147.67	378.39	719.79	743%	1344988	0	10347424	147.676677
escherichia_coli.k32	eulertigs	61	38.02	7.24	30.36	98%	1136216	0	385624	38.027448
salmonella_enterica.k32	eulertigs	22	29.60	0.90	28.66	99%	1435372	0	252848	29.611884
neisseria_gonorrhoeae.pangenome.k32	prophasm	20	30.98	0.48	30.48	99%	981900	0	56528	30.993084
human	unitigs	41	1996.18	881.25	24500.86	1271%	12445424	1728	320557416	1996.190537
neisseria_gonorrhoeae.pangenome.k32	greedytigs	19	4.21	0.16	4.05	100%	240740	0	52456	4.218904
yeast	eulertigs	10	1.85	0.03	1.79	98%	108240	0	1104	1.859926
spneumoniae	eulertigs	12	3.67	0.17	3.48	99%	250188	0	7880	3.677104
spneumoniae	unitigs	20	3.85	4.10	14.48	482%	251460	0	202848	3.857515
escherichia_coli.k32	unitigs	16	588.59	1050.06	1422.66	420%	2081008	0	31297248	588.596624
salmonella_enterica.k32	unitigs	12	104.83	786.37	214.51	954%	1587712	0	7094176	104.840112
streptococcus_pneumoniae-large	matchtigs	51	11.07	0.37	10.70	100%	751648	0	179888	11.076986
streptococcus_pneumoniae-large	unitigs	10	11.14	45.20	29.78	672%	1150288	0	917608	11.145603
salmonella_enterica.k32	unitigs	8	8.36	7.72	30.94	462%	2027384	0	1005304	8.36987
sars-cov-2-pangenome	unitigs	22	19.27	63.68	65.88	672%	628948	0	1171416	19.276354
neisseria_gonorrhoeae.pangenome.k32	unitigs	61	20.21	8.36	176.12	912%	2339548	0	2051008	20.219766
sars-cov-2-pangenome	eulertigs	31	7.50	0.33	7.16	99%	320660	0	47912	7.513554
yeast	unitigs	18	13.70	18.01	82.99	736%	625868	0	1146976	13.712733
spneumoniae	unitigs	12	14.62	101.49	28.70	890%	307496	0	715232	14.624761
yeast	prophasm	12	7.76	0.09	7.65	99%	219048	0	25416	7.796506
escherichia_coli.k32	unitigs	8	11.63	7.40	50.06	493%	2846504	0	1593904	11.636174
streptococcus_pneumoniae-large	unitigs	41	49.93	64.59	456.84	1044%	2535824	0	6301584	49.938514
spneumo-pangenome	eulertigs	41	1.73	0.03	1.69	99%	84744	0	28328	1.739483
spneumoniae	unitigs	24	20.65	17.61	20.17	183%	753060	0	213320	20.654281
streptococcus_pneumoniae-large	greedytigs	15	597.88	24.50	3019.13	509%	9110004	0	120488	597.892992
spneumo-pangenome	prophasm	10	1.37	0.02	1.34	99%	44228	0	1344	1.373925
neisseria_gonorrhoeae.pangenome.k32	eulertigs	31	3.80	0.09	3.70	99%	123024	0	59560	3.807679
spneumoniae	greedytigs	16	0.21	0.01	0.21	103%	19652	0	4192	0.22244
minikraken4GB	eulertigs	8	0.13	0.01	0.09	83%	9636	0	72	0.134145
spneumo-pangenome	eulertigs	10	1.74	0.03	1.70	99%	106476	0	1288	1.748406
neisseria_gonorrhoeae.pangenome.k32	eulertigs	10	2.67	0.09	1.86	73%	108816	0	1048	2.675668
neisseria_gonorrhoeae.pangenome.k32	matchtigs	41	3.90	0.14	3.75	99%	229292	0	64864	3.909932
spneumoniae	eulertigs	18	0.16	0.00	0.16	99%	5956	0	4248	0.171344
yeast	greedytigs	41	0.79	0.01	0.78	99%	10184	0	22808	0.803936
spneumo-pangenome	unitigs	20	14.10	38.49	59.03	691%	601084	0	958512	14.107133
neisseria_gonorrhoeae.pangenome.k32	eulertigs	11	8.31	0.30	7.92	98%	416692	0	4928	8.319854
streptococcus_pneumoniae-large	prophasm	9	7.50	0.03	7.46	99%	28548	0	288	7.512722
spneumo-pangenome	prophasm	16	10.67	0.47	10.19	99%	334928	0	23344	10.682027
neisseria_gonorrhoeae.pangenome.k32	greedytigs	14	131.39	4.17	520.88	399%	4312300	0	46696	131.402393
salmonella_enterica.k32	matchtigs	51	17.59	0.55	17.04	100%	1450264	0	277320	17.602749
human	matchtigs	11	66.11	0.20	65.80	99%	765408	424	4232	66.116666
spneumo-pangenome	unitigs	25	22.14	42.21	77.51	540%	2300268	0	1044640	22.150871
sars-cov-2-pangenome	eulertigs	41	2.85	0.08	2.75	99%	179724	0	42576	2.855479
human	greedytigs	41	13365.94	9.81	26413.26	197%	11744448	11330536	5367872	13365.952767
spneumoniae	greedytigs	27	0.16	0.00	0.16	100%	5468	0	4224	0.172936
minikraken4GB	unitigs	31	4569.83	33789.37	7748.23	908%	19739868	110607448	145948664	4569.8447
salmonella_enterica.k32	greedytigs	9	1.22	0.01	0.36	31%	48828	0	264	1.225612
spneumoniae	greedytigs	31	0.15	0.01	0.14	101%	5420	0	4232	0.160022
escherichia_coli.k32	eulertigs	41	33.96	0.97	32.95	99%	2002656	0	540416	33.968365
spneumoniae	matchtigs	51	0.16	0.01	0.14	100%	5320	0	4464	0.17077
yeast	matchtigs	17	1545.15	0.54	1547.03	100%	1153536	3904	314752	1545.15984
salmonella_enterica.k32	unitigs	15	433.64	2040.82	1048.19	712%	1611956	0	23116040	433.653101
yeast	unitigs	16	20.61	56.38	93.48	727%	606420	0	1472104	20.617335
yeast	prophasm	28	13.46	0.22	13.22	99%	478844	0	23232	13.465939
yeast	prophasm	10	1.40	0.03	1.36	99%	44996	0	1184	1.409595
yeast	greedytigs	29	0.80	0.02	0.79	100%	12080	0	22736	0.813003
minikraken4GB	unitigs	8	126.45	102.37	1102.65	952%	6399472	24311248	36213688	126.46178
escherichia_coli.k32	eulertigs	9	0.38	0.02	0.35	98%	29448	0	264	0.391096
neisseria_gonorrhoeae.pangenome.k32	unitigs	9	4.39	12.02	9.27	484%	549176	0	265768	4.402109
sars-cov-2-pangenome	greedytigs	23	7.41	0.32	12.83	177%	454536	0	25360	7.415741
spneumoniae	matchtigs	22	0.23	0.00	0.23	101%	8160	0	5120	0.2431
spneumoniae	eulertigs	28	0.20	0.00	0.20	100%	4652	0	4264	0.211862
spneumoniae	matchtigs	27	0.22	0.00	0.22	101%	7212	0	4952	0.232942
spneumo-pangenome	eulertigs	12	10.82	0.30	10.45	99%	669032	0	18648	10.825407
streptococcus_pneumoniae-large	prophasm	31	100.09	1.37	98.66	99%	2986944	0	190144	100.10051
yeast	matchtigs	30	1.05	0.01	1.03	100%	15936	0	24352	1.0554
escherichia_coli.k32	matchtigs	18	27350.07	12.77	27371.97	100%	15263992	8240	4909008	27350.083334
yeast	eulertigs	16	3.32	0.15	3.16	99%	177404	0	26224	3.332205
